codunidadeembarque,descricao,dataatual,dataexportacao,liberado,codunidadenegocio,descsegurosaldomot,codfilial,taxaseguro,serie,endereco,codcidade,cep,fone,fax,email,embarcador,complemento,taxaiss,nomereduzido,utilizacte,emailcte,percmaxadiant,cnpj,inscricaoestadual,caminhobdcte,tpamb,versaodados,emailret,emailerro,rntrc,nomeseguradora,numeroapolice,respseguro,resppedagio,tipopedagio,codfornecedor,venccontrpedagio,versaocte,numero,usuarioins,datadigitacao,usuarioalt,tipo,percminlucro,percminlucrotercpf,percminlucroproprio,percminlucroagreg,bairro,margemmaxfrota,margemminfrota,margemminfrete,margemminpf,margemminpj,margemminagregado,margemminagregadomisto,percfrota,utilizamdfe,emailmdfe,versaomdfe,tpemis,versaomodal,versaoeventocte,versaoeventomdfe,versaoeventonfe,mdfetpamb,obscartafrete1,obscartafrete2,obscartafrete3,enderecocob,complementocob,codcidadecob,cepcob,bairrocob,numerocob,fonecob,faxcob,limitediariocartao,inscricaomunicipal,obsseguro,verifsublimite,premioseguro2,percmaxadiant2,arqlogo,nfsecnae,nfsecodservico,nfsedescservico,nfseversao,nfseserie,nfsetpamb,codcidadenfse,descontaisssaldoemp,impcartafrete,obs,cnpjseguradora,cidadanfseus,cidadanfsepw,cidadanfsechave,obsordemcar,obsordemcompra,tpemisnfe,sm_localorigem,sm_localdestino,sm_valores,sm_obs,sm_obs2,listanegocio,nfsecodtributacao,codmotoristager,codmotoristasup,celular,tpemismdfe,sm_transportadora,checklist,taxaadm,taxaseguro2,codmotoristasup2,ctecrt,descsegurosaldo,codmotoristaencarregado
26,INATIVO - CUIABA - MT  - GABRIEL ALGODAO,2024-11-08 15:17:54.306,,N,8.0,S,1,0.0,U,AVENIDA AIRTON SENNA ,5290.0,78098970,06634265920,,bomfrete@bomfrete.com.br,,KM 397,,CUIABA (G) A,N,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS ,,4,4,0,,,4.00,SN,GABRIEL,2022-04-14 09:09:56.009000,NATHALYA,3.0,7.0,,,,JARDIM INDUSTRIARIO ,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78746055,VILA BIRIGUI,1124,06634265920,,,,,,,70.0,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,065996650121,,,",",,,,,,
0,NAO INFORMADO,,,N,,,0,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,2022-09-21 14:27:43.890412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CUIABA - MT (MARCÃO),2024-12-17 17:29:43.667,,S,9.0,S,1,0.0,U,"AVENIDA AYRTON SENNA DA SILVA KM 397,4, DISTRITO INDUSTRIAL",5290.0,78098970,06634265920,,bomfrete@bomfrete.com.br,,SALA 14 E 15 POSTO ALDO LOCATELLI,,CUIABA (M),S,oneidelogistica@hotmail.com,90.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,PAULO,2020-05-07 09:16:12.963000,JESSICAM,3.0,0.0,,,,JARDIM INDUSTRIARIO ,0.0,0.0,0.0,0.0,,0.0,0.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78746055,VILA BIRIGUI,1124,06634265920,,,,,,,90.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,065996650121,,,",",,,,3,,
20,ALGODÃO,2024-12-02 07:44:40.801,,S,4.0,N,1,0.14,U,RUA COLONIZADOR ENIO PIPINO ,5227.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,,,ALGODÃO (R),S,oneidelogistica@hotmail.com,100.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,4421,GABRIEL,2022-03-15 15:32:01.820000,THIAGO,3.0,5.0,,,,INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,ARY COELHO ,,5316.0,78746055,VILA BIRIGUI ,1124,06634265920,,,,,,,100.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,,
60,SINOP -  MT 01,2024-11-18 15:12:00.514,,S,18.0,N,1,0.14,U,RUA JOÃO PEDRO MOREIRA DE CARVALHO,5227.0,78559899,06634265920,,bomfrete@bomfrete.com.br,,SALA 221 POSTO TREVÃO,,SINOP,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,11164,NATHALYA,2024-10-25 10:18:05.145000,LUCASKP,3.0,5.0,,,,INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,ARY COELHO ,,5316.0,78746055,VILA BIRIGUI ,1124,06634265920,,,,,S,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,S,
67,AGUA BOA - MT 01,2024-11-18 15:56:15.804,,S,18.0,N,1,0.0,1,RODOVIA MT 240 KM 44,5248.0,78635000,0664265920,06634265904,aguaboa@bomfrete.com.br,,SALA 14 POSTO MARTINÃO,,AGUA BOA,S,oneidelogistica@hotmail.com,,23073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,ELIANE,2024-10-25 11:01:40.744000,LUCASKP,,5.0,,,,SETOR INDUSTRIAL II,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,S,
45,GERONIMO CIRINO - PRIMAVERA DO LESTE - MT,2024-11-18 15:57:25.540,,S,10.0,N,1,0.0,U,ROD BR 070,5299.0,78850000,06634265920,,bomfrete@bomfrete.com.br,,POSTO ALVORADA,,,S,oneidelogistica@hotmail.com,,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,JESSICAM,2024-02-21 14:33:26.672000,LUCASKP,3.0,,,,,PARQUE INDUSTRIAL ,,,0.0,,,,,,,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,06634265920,,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,3,,
22,INATIVO - VILHENA (ROGÉRIO),2024-12-13 15:33:15.490,,N,4.0,N,1,0.0,1,AVENIDA MARECHAL RONDON,45.0,76987832,,,bomfrete@bomfrete.com.br,,SALA 67,,VILHENA (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,7784,GABRIEL,2022-03-15 17:52:26.163000,NATHALYA,3.0,5.0,,,,TANCREDO NEVES,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA MARECHAL RONDON,SALA 67,45.0,76987832,TANCREDO NEVES,7784,06634265920,,,3520203,,,,70.0,,4930201,1,NOTA DE SERVIÇO,,NFS,1,5316.0,,,,61383493000180,,,,,,1,,,,,,,,,,066996402005,1,,",",,,,,,
58,MATUPA - MT 01,2024-12-13 15:37:01.896,,S,18.0,N,1,0.0,U,RUA 01 LT 01 QD 01,5195.0,78525000,06634265920,,bomfrete@bomfrete.com.br,,SALA 28 POSTO MIRIAN VII,,MATUPA ,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,NATHALYA,2024-10-25 09:41:30.732000,NATHALYA,3.0,5.0,,,,ZONA INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO,,5316.0,78700000,VILA BIRIGUI,,06634265920,,,,,S,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,S,
56,LUCAS DO RIO VERDE - MT 01,2024-12-13 15:37:12.219,,S,18.0,N,1,0.14,U,AVENIDA DA PRODUÇÃO,5214.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,SALA 08 POSTO SABIA,,LRV (R),S,oneidelogistica@hotmail.com,75.0,26073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1510,NATHALYA,2024-10-25 09:21:27.515000,NATHALYA,3.0,5.0,,,,,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENDIA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,75.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,S,
7,INATIVO  - SINOP  - MT (ROGÉRIO),2024-12-13 15:37:27.085,,N,4.0,N,1,0.14,U,RUA COLONIZADOR ENIO PIPINO ,5227.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,,,SINOP (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,4421,THIAGO,2021-02-16 14:40:38.548000,NATHALYA,3.0,5.0,,,,INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,ARY COELHO ,,5316.0,78746055,VILA BIRIGUI ,1124,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,,,,",",,,,,,
10,INATIVO - RONDONOPOLIS - MT (ROGÉRIO),2024-12-13 15:37:41.927,,N,4.0,N,1,0.14,U,BR 163 KM 119,5316.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,RENATO VETORASSO,,ROO (R),S,oneidelogistica@hotmail.com,85.0,24073150000193,1361336990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,THIAGO,2021-02-16 18:42:23.393000,NATHALYA,3.0,5.0,,,,DISTRITO INDUSTRIAL ,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,85.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,"2,1",,,,,1,,",",,,,3,,
49,ANÁPOLIS - GO (ONEIDE),2024-10-03 17:29:35.087,,N,18.0,N,16,0.098,U,"BR 153,KM 103",5392.0,75136150,06634265920,,anapolis@bomfrete.com.br,,POSTO PRESIDENTE ,,,S,oneidelogistica@hotmail.com,,24073150000789,ISENTO,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,6845,JESSICAM,2024-05-08 15:54:56.957000,RENATA,3.0,,,,,ZONA URBANA,,,0.0,,,,,,,,3.00,1,4.00,4.00,,2.00,,,,,"BR 153,KM 103",POSTO PRESIDENTE ,5392.0,75136150,ZONA URBANA,6845,06634265920,06634265920,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,3,,
13,INATIVO - CUIABA - MT (ROGÉRIO),2024-12-13 15:38:35.851,,N,4.0,N,1,0.14,NFS,AVENIDA AIRTON SENNA,5290.0,78098970,06634265920,,bomfrete@bomfrete.com.br,,,,CUIABA (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,THIAGO,2021-02-26 13:37:20.582000,NATHALYA,3.0,10.0,,,,JARDIM INDUSTRIARIO,10.0,10.0,0.0,10.0,10.0,10.0,10.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA AIRTON SENNA,,5290.0,,JARDIM INDUSTRIARIO ,,06634265920,,,3520203,,,,70.0,,4930201,1,NOTA DE SERVIÇO,,NFS,1,5316.0,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
21,INATIVO - CAMPO NOVO  DO PARECIS - MT( ROGÉRIO ),2024-12-13 15:38:54.517,,N,4.0,N,1,0.0,U,AVENIDA OLACYR FRANCISCO DE MORAES ,5201.0,78360000,06634265920,06634265920,camponovodoparecis@bomfrete.com.br,,ANEXO AO POSTO 10,,CNP (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,169,GABRIEL,2022-03-15 15:36:18.366000,NATHALYA,3.0,5.0,,,,SETOR INDUSTRIAL ,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA OLACYR FRANCISCO DE MORAES ,,,,,169,06634265920,06634265920,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,065998018934,,,",",,,,,,
65,DIAMANTINO - MT 01,2024-11-18 15:36:13.396,,S,18.0,N,1,0.0,U,RODOVIA SENADOR ROBERTO CAMPOS KM 05,5204.0,78400000,,,bomfrete@bomfrete.com.br,,POSTO TREVÃO ,,DIAMANTINO 01 ,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,ANAPAULAS,2024-10-25 10:42:14.568000,LUCASKP,3.0,5.0,,,,ZONA INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
12,RONDONÓPOLIS - MT (HELTON),2024-11-27 15:55:41.824,,S,11.0,N,1,,U,AVENIDA ARY COELHO ,5316.0,78705050,06634265920,,bomfrete@bomfrete.com.br,,VILA BIRIGUI,,HELTON,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1124,THIAGO,2021-02-16 18:58:57.145000,JESSICAM,3.0,,,,,VILA BIRIGUI ,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI ,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,,1,,",",,,,3,,
25,INATIVO - CUIABA - MT  - GABRIEL,2024-11-08 15:17:58.112,,N,8.0,S,1,0.0,U,AVENIDA AIRTON SENNA ,5290.0,78098970,06634265920,,bomfrete@bomfrete.com.br,,KM 397,,CUIABA (G),N,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS,0123456789,4,4,0,,,4.00,SN,GABRIEL,2022-04-14 08:52:17.149000,NATHALYA,3.0,,,,,JARDIM INDUSTRIARIO ,,,0.0,,,,,,N,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78746055,VILA BIRIGUI,1124,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,065996650121,,,",",,,,3,,
1,INATIVO - RONDONOPOLIS - MT (MATRIZ) ,2024-11-13 14:25:50.354,,N,12.0,S,1,,U,AVENIDA ARY COELHO ,5316.0,78705050,06634265920,,bomfrete@bomfrete.com.br,,,,MATRIZ,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS,0123456789,4,,0,,,4.00,1124,S,2019-09-27 00:00:00.000000,ELIANE,1.0,7.0,,,,VILA BIRIGUI,7.0,7.0,,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78705050,VILA BIRIGUI ,1124,06634265920,,,,,N,,70.0,,,,,,,1,,N,,,61383493000180,,,,,,1,,,,,,2,,,,,1,,",",,,,,,
47,ROGERIO PAULINO - QUÍMICO E DEFENSIVO ,2024-12-13 15:36:10.238,,S,17.0,N,1,0.0,U,AV. HISTORIADOR RUBENS DE MENDONÇA,5290.0,78050000,,,,,SALA 902 EMPIRE CENTER,,,S,oneidelogistica@hotmail.com,,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,990,JESSICAM,2024-04-11 13:37:43.475000,NATHALYA,3.0,,,,,BOSQUE DA SAUDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
46,LUIS EDUARDO MAGALHÃES - BA (FERNANDO ARAUJO GOMES),2024-12-13 15:37:07.105,,S,16.0,N,19,0.0,U,ROD BR 020 KM 206,2053.0,47850000,06634265920,06634265920,lem@bomfrete.com.br,,SALA 05 POSTO 20,,LEM,S,oneidelogistica@hotmail.com,70.0,24073150001165,203020724,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,THIAGO,2024-02-26 16:50:05.934000,NATHALYA,3.0,,,,,CAMINHO DAS ARVORES,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA TANCREDO NEVES ,EDIF GUIMARAES TRAD SALA 1603,2053.0,41820020,CAMINHO DAS ARVORES,1189,06634265920,06634265920,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
33,INATIVO - QUERENCIA - MT (ROGÉRIO),2024-12-13 15:37:52.317,,N,4.0,N,1,0.0,U,AV. SUL,5254.0,78643-00,,,bomfrete@bomfrete.com.br,,ANEXO AO POSTO MAB,,QUERENCIA (R),S,faturamento@bomfrete.com.br,80.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,faturamento@bomfrete.com.br,faturamento@bomfrete.com.br,,SOMPO SEGUROS,0123456789,4,4,0,,,4.00,1600 ,JESSICAM,2023-01-24 17:35:36.133000,NATHALYA,3.0,5.0,,,,SETOR E ,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,,
36,INATIVO - PRIMAVERA DO LESTE - MT ( ROGÉRIO),2024-12-13 15:37:56.903,,N,4.0,N,1,0.0,U,RUA DO COMERCIO ,5299.0,,,,oneide@bomfrete.com.br,,ANEXO AO POSTO ALVORADA ,,,S,faturamento@bomfrete.com.br,,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,faturamento@bomfrete.com.br,faturamento@bomfrete.com.br,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,4201,JESSICAM,2023-01-31 13:59:32.530000,NATHALYA,3.0,5.0,,,,PARQUE INDUSTRIAL ,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
9,INATIVO NOVA MUTUM - MT (ROGÉRIO),2024-12-13 15:38:11.010,,N,4.0,N,1,0.0,U,AVENIDA PERIMETRAL DAS SAMAMBAIAS ,5216.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,,,NOVA MUTUM (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1680,THIAGO,2021-02-16 15:25:08.598000,NATHALYA,3.0,5.0,,,,CENTRO,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI ,1124,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,,1,,",",,,,3,,
70,VILHENA - RO 01,2024-12-16 08:26:27.419,,S,18.0,N,1,0.0,1,AVENIDA MARECHAL RONDON,45.0,76987832,,,bomfrete@bomfrete.com.br,,SALA 67 POSTO MIRIAN,,VILHENA 01,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,7784,ANAPAULAS,2024-10-25 11:18:00.598000,JESSICAM,3.0,5.0,,,,PARQUE INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA MARECHAL RONDON,SALA 67,45.0,76987832,TANCREDO NEVES,7784,06634265920,,,3520203,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,066996402005,1,,",",,,,,,
63,SORRISO - MT 01,2024-11-18 14:48:24.415,,S,18.0,S,1,0.14,U,"ROD BR 163 KM 739, SETOR INDUSTRIAL",5219.0,78890000,06634265920,,bomfrete@bomfrete.com.br,,BLOCO B SALA 03 POSTO REDENTOR,,SORRISO,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,NATHALYA,2024-10-25 10:37:16.935000,LUCASKP,3.0,5.0,,,,ZONA RURAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78746055,VILA BIRIGUI,1124,06634265920,,,,,S,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,S,
68,SAPEZAL - MT 01 ,2024-11-18 15:28:49.642,,S,18.0,S,1,0.14,U,AVENIDA PREFEITO ANDRE ANTONIO MAGGI,5205.0,78385000,06634265920,,bomfrete@bomfrete.com.br,,SALA 14 POSTO GUARÁ,,SAPEZAL  01,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,789,ANAPAULAS,2024-10-25 11:02:14.042000,LUCASKP,3.0,5.0,,,,9PARQUE INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENDIA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
72,UBERABA - MG 01,2024-11-18 15:33:09.887,,S,18.0,N,18,0.0,8,AVENIDA FILOMENA CARTAFINA ,2481.0,38040450,06634265920,,bomfrete@bomfrete.com.br,,SALA 23 POSTO 50TÃO,,UBERABA,S,oneidelogistica@hotmail.com,70.0,24073150000940,0043646960019,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,22032,NATHALYA,2024-10-25 13:47:03.910000,LUCASKP,3.0,5.0,,,,DISTRITO INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,bomfrete@bomfrete.com.br,3.00,1,4.00,4.00,3.00,2.00,1,,,,RUA MENELICK DE CARVALHO ,,2481.0,,BOA VISTA ,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,S,
